user_id,usergender,dob
100019,2,1985-08-08
100022,2,1991-02-06
100040,1,1980-01-01
100049,1,1988-06-13
100093,2,1987-05-23
100122,0,1970-01-01
100143,2,1992-12-03
100224,1,1991-07-27
100234,1,1987-06-23
100239,1,1990-11-13
100241,1,1988-06-02
100261,1,1982-07-22
100272,1,1992-03-02
100282,1,1988-01-17
100286,1,1989-04-28
100298,1,1988-09-05
100346,2,1999-11-01
100376,1,1995-09-14
100400,1,1996-10-18
100402,1,1984-03-24
100466,1,1989-10-25
100494,2,2000-11-18
100502,1,1984-12-27
100504,1,1980-12-15
100512,1,1991-02-05
100515,2,1988-06-15
100600,1,1995-07-15
100629,1,1989-12-14
100657,2,1993-10-09
100659,2,1995-08-01
100662,2,1995-05-12
100688,1,1994-12-02
100690,2,1999-03-03
100699,1,1994-04-22
100700,1,1993-04-04
100702,1,1995-10-21
100729,1,1995-02-21
100779,1,1992-10-10
100786,1,1991-06-07
100792,1,1993-09-09
100803,1,1988-08-20
100815,1,1995-06-02
100827,1,1991-06-01
100838,2,1990-04-01
100845,1,1992-03-18
100851,2,1994-12-02
100857,1,1991-06-14
100863,1,1960-01-01
100874,1,1980-01-07
100921,1,1992-10-03
100926,2,1994-12-15
100928,2,1991-12-19
100931,1,1994-01-01
100933,0,1970-01-01
100949,1,1991-03-10
100958,2,1994-04-29
100966,1,1990-01-01
100968,1,1994-12-04
100970,1,1992-11-11
100971,2,1993-07-09
100980,1,1995-06-18
100997,1,2003-08-21
101007,1,1993-03-26
101034,1,1975-04-30
101062,1,1976-02-29
101073,1,1991-10-24
101082,1,1997-10-22
101086,1,1990-01-12
101120,2,1993-06-20
101139,1,2000-12-22
101147,2,1986-04-12
101188,1,1991-08-21
101192,2,2000-12-28
101200,1,1997-10-07
101201,1,1987-12-20
101228,1,1992-01-01
101247,1,1995-11-07
101254,1,1989-10-03
101264,1,1991-11-01
101307,2,1988-11-11
101335,2,1993-06-25
101346,1,1991-12-02
101372,1,1991-11-20
101386,1,1990-07-26
101393,2,1996-11-29
101408,2,1979-01-15
101416,1,1996-07-22
101460,2,1990-04-16
101501,1,1987-02-27
101521,1,1997-10-08
101529,2,1991-09-07
101538,1,1996-04-04
101549,1,1995-09-07
101556,1,1996-05-29
101632,1,1996-10-17
101637,1,1987-06-09
101660,1,1988-08-30
101666,1,1988-03-30
101667,1,1994-12-31
101671,1,1992-12-16
101690,1,1984-12-23
101720,1,1989-05-14
101725,1,1995-03-07
101729,1,1993-11-21
101765,1,1990-10-25
101772,0,1970-01-01
101773,1,1994-04-10
101781,2,1994-06-04
101790,1,1992-08-21
101818,1,1983-03-24
101823,0,1970-01-01
101900,1,1996-02-13
101911,1,1990-07-28
101925,2,2000-06-05
101928,2,1984-01-01
101936,1,1987-10-10
101938,2,1994-10-28
101942,1,1985-12-23
101956,1,1996-05-14
101957,1,1995-02-05
101995,2,1993-04-04
102005,0,1970-01-01
102015,1,2001-05-01
102017,1,1989-05-09
102032,2,1997-02-16
102037,2,1994-09-26
102080,1,1995-12-04
102121,1,1993-08-15
102128,2,1995-11-04
102166,2,1970-01-01
102176,1,1981-11-19
102200,1,1984-06-29
102208,1,1994-03-01
102238,1,1991-05-09
102241,2,1990-11-30
102259,1,1996-12-08
102260,1,1990-10-17
102269,1,1995-04-23
102276,1,1983-11-08
102277,1,1998-04-06
102294,2,1989-09-09
102314,2,1980-01-01
102316,1,1994-10-05
102348,1,1993-08-25
102378,2,2000-07-10
102393,2,1991-06-22
102399,1,1991-07-15
102407,1,1986-05-03
102418,1,2012-03-03
102422,1,1984-04-27
102436,2,1990-03-22
102443,1,1987-05-23
102446,2,1983-01-30
102491,1,1994-01-22
102542,1,1986-11-03
102543,1,1985-09-04
102547,1,1985-02-09
102582,1,1983-11-05
102583,1,1995-03-08
102598,1,1993-09-12
102600,2,1983-01-05
102625,2,1983-05-28
102631,1,1988-04-20
102641,2,1991-02-28
102647,2,1993-11-05
102664,1,1995-02-25
102700,1,1988-11-05
102722,1,1985-09-15
102735,1,1976-02-29
102737,1,1990-05-19
102738,2,1984-04-28
102747,1,1997-05-21
102759,2,1993-01-11
102769,0,1970-01-01
102775,2,1977-08-08
102789,0,1970-01-01
102811,2,1992-12-27
102812,1,1989-04-28
102834,1,1997-03-02
102842,2,1988-02-25
102873,1,1989-12-03
102891,1,1991-09-02
102903,1,1991-10-04
102945,1,1981-08-21
102978,2,1995-12-21
103018,1,1979-06-24
103066,1,1988-12-14
103067,1,1992-01-04
103077,1,1989-06-15
103108,1,1993-01-20
103123,1,1993-03-15
103131,2,2000-02-17
103162,1,1993-04-22
103185,2,1987-05-11
103223,1,1994-03-13
103232,1,1995-10-02
103272,2,1994-09-14
103293,2,1992-06-22
103297,1,1993-03-13
103304,0,1998-07-20
103311,1,1993-05-06
103323,1,1989-09-30
103327,1,1990-06-08
103341,1,1991-10-31
103354,1,1990-03-22
103355,1,1995-03-21
103370,2,1991-08-18
103380,1,1988-11-11
103391,1,1995-04-18
103398,1,1997-10-17
103420,2,1988-01-01
103427,1,1994-09-05
103445,2,1945-07-18
103454,2,1994-01-03
103456,1,1992-08-15
103468,2,1988-11-18
103471,2,1990-12-07
103514,1,1999-11-08
103527,1,1992-10-29
