campaign_code,campaign_type
30060,direct discount
26650,voucher
33870,voucher
25690,direct discount
23040,direct discount
12080,voucher
18790,direct discount
24730,voucher
25320,direct discount
17620,direct discount
23590,voucher
17180,voucher
18810,direct discount
52220,voucher
18850,direct discount
13730,voucher
18870,direct discount
18830,direct discount
70300,direct discount
18300,voucher
41300,direct discount
15930,voucher
23060,direct discount
17590,direct discount
23020,direct discount
23610,voucher
25700,direct discount
17210,voucher
17580,direct discount
30040,direct discount
17610,direct discount
18840,direct discount
13850,voucher
17660,voucher
52300,voucher
17600,direct discount
36840,voucher
45300,voucher
18100,voucher
70320,voucher
17570,direct discount
26640,voucher
33100,direct discount
13790,voucher
23080,direct discount
23140,direct discount
36910,voucher
23070,direct discount
44630,voucher
16530,voucher
25710,direct discount
30030,direct discount
23090,direct discount
31670,voucher
18780,direct discount
13750,voucher
13840,voucher
17670,voucher
47900,voucher
18820,direct discount
18860,direct discount
70640,voucher
17560,direct discount
41330,direct discount
23600,voucher
19800,direct discount
12240,voucher
14570,voucher
30020,direct discount
15530,voucher
17190,lixi
47150,voucher
45730,voucher
48020,voucher
23100,direct discount
41270,voucher
13740,lixi
48250,voucher
17220,voucher
17170,voucher
23820,voucher
14560,voucher
14180,voucher
42790,voucher
13800,voucher
23030,direct discount
18310,voucher
23130,direct discount
17630,direct discount
24260,voucher
41260,voucher
23120,direct discount
47810,voucher
13760,voucher
33090,direct discount
39700,voucher
13810,voucher
14550,voucher
18800,direct discount
30070,direct discount
23050,direct discount
49920,voucher
23110,direct discount
26680,voucher
25680,direct discount
